"WIND","IND","RAIN","T.MAX","IND.2","T.MIN.G"
14.42,0.000,4,11.8,0.000,3.8
20.21,0.000,2.3,13.4,0.000,5.6
9.96,0.000,0.2,11.7,0.000,7.7
17.88,0.000,0,12.8,0.000,6.2
17.5,0.000,1,11.8,0.000,6.2
13.33,0.000,3.7,9.1,0.000,4.4
17.33,0.000,0.5,11.3,0.000,4.4
5.66,0.000,0,8.3,0.333,-4.8
6.67,0.000,0.1,11.7,0.000,-1.6
11.46,0.000,0.7,12.1,0.333,-6.2
13.92,0.000,0.1,12.3,0.000,4.8
16.62,0.000,2,12.4,0.000,6.1
13.17,0.000,4.7,10.1,0.000,1.2
12.42,0.000,0,13.4,0.000,5.5
7.54,0.000,0,11.4,0.000,4.8
4.33,0.000,0,10.2,0.000,-4
4.17,0.000,0,6.8,0.000,-2.2
4.79,0.000,0,12.1,0.333,-5.4
19.55,0.000,0.4,11.4,0.000,5.4
7.62,0.000,2.9,12.7,0.000,4.4
13.92,0.000,0.2,10.1,0.000,3.4
9.83,0.000,1.5,7.9,0.000,0.5
8.67,0.000,0,9.7,0.333,-4.8
9.38,0.000,0,7.9,0.000,-1.6
6.83,0.000,0,11.2,0.333,-5.4
14.46,0.000,0.1,12.8,0.000,3.4
15.37,0.000,1.2,12.7,0.000,0.5
12.96,0.000,0,13.5,0.000,3.8
13.37,0.000,2.6,14.4,0.000,1.1
14.96,0.000,0.4,11.2,0.000,1.7
13.67,0.000,0.7,14.1,0.000,2.6
18.75,0.000,3.2,15.2,0.000,7.7
11.67,0.000,0.8,14,0.000,7.2
13.88,0.000,1.3,14.4,0.000,2.2
23.09,0.000,0.9,12.2,0.000,7.5
12.25,0.000,0,13.8,0.000,1.4
15.59,0.000,0.1,15.5,0.000,7.5
20.33,0.000,0.8,14.2,0.000,5.6
13.42,0.000,1.1,14.5,0.000,5.5
14.42,0.000,0.5,18.3,0.000,-0.2
13.96,0.000,0,16.6,0.000,-0.2
19.33,0.000,0.8,13.3,0.000,6.3
11.38,0.000,5,13.6,0.000,2.2
14.5,0.000,3.4,15,0.000,7.2
7.62,0.000,0,12.8,0.000,-1.2
7,0.000,0.2,12,0.000,0.6
4.96,0.000,4.1,11.6,0.000,-4.1
8.38,0.000,1.1,15.5,0.000,7.2
9.29,0.000,0.4,15.7,0.000,8.3
5.13,0.000,0,14,0.000,0.5
5.63,0.000,0,17,0.000,-0.7
8.25,0.000,2.5,12.8,0.000,5.1
6.13,0.000,0,17.1,0.000,7.2
8.54,0.000,0.8,16.2,0.000,10.7
5.09,0.000,0.3,17,0.000,11.2
6.46,0.000,0,17.2,0.000,10.6
8.5,0.000,0.7,15.7,0.000,8.5
5.17,0.000,3.4,16.6,0.000,10.5
2.67,0.000,0.1,16.1,0.000,11.2
6.46,0.000,0,16.6,0.000,9.6
10.92,0.000,0,16.6,0.000,10.1
13.96,0.000,0.1,16.4,0.000,10.1
8.17,0.000,0.2,17,0.000,10.4
4.46,0.000,0.9,15,0.000,4.7
4.79,0.000,0.3,15.6,0.000,8.8
5.54,0.000,0.5,17.2,0.000,3.4
14.71,0.000,0,20,0.000,9.5
12.04,0.000,3.8,18.8,0.000,11
10.29,0.000,2,19,0.000,10
9.75,0.000,0,17.6,0.000,9
6.5,0.000,0,19.4,0.000,7.5
10.04,0.000,0.4,19.4,0.000,12.7
6.5,0.000,0,17.7,0.000,1
7.29,0.000,0,24,0.000,8.3
6.5,0.000,3.4,17.7,0.000,13.3
7.87,0.000,2.3,18.3,0.000,10.1
11.17,0.000,0.1,18.2,0.000,13.3
11,0.000,1.1,17.5,0.000,6.2
6.5,0.000,0,17.7,0.000,6
5.5,0.000,0,20.1,0.000,2.5
5.91,0.000,0,20.4,0.000,3
8.21,0.000,0,21.1,0.000,2.7
4.33,0.000,0,25.5,0.000,7.2
4.33,0.000,0,22.3,0.000,4.5
5.41,0.000,0,21.4,0.000,10.4
4.08,0.000,0,20.3,0.000,5.5
2.62,0.000,0,19.6,0.000,6.7
3.13,0.000,0,21.1,0.000,11.6
10.5,0.000,4.1,18.3,0.000,9.6
7,0.000,0,18.8,0.000,10.8
12.58,0.000,0,20.6,0.000,12.8
13.5,0.000,0,16.6,0.000,7.4
14.09,0.000,2.1,19.7,0.000,10.3
11.25,0.000,1.6,18.4,0.000,11.2
8.38,0.000,0,18.8,0.000,10.6
6.58,0.000,0,16.2,0.000,10.7
6.67,0.000,4.3,17.6,0.000,5.7
15.67,0.000,0,15,0.000,8.8
6.92,0.000,0,17.7,0.000,3.8
7.79,0.000,3.6,17.8,0.000,10.3
11.08,0.000,0.4,17,0.000,6.6
9.46,0.000,3.4,18.3,0.000,7.6
7.62,0.000,0.2,18.8,0.000,11.8
13.13,0.000,3.8,17.8,0.000,6.1
13.59,0.000,0.4,19,0.000,9.4
9,0.000,3.6,17.7,0.000,11.4
19.62,0.000,3.3,17.3,0.000,10.5
14.62,0.000,0.2,15.5,0.000,10
7.41,0.000,0,15.5,0.000,4.7
8.33,0.000,0,16.5,0.000,6.6
9.59,0.000,0.5,15.6,0.000,11.1
14.12,0.000,0,11.6,0.000,0.5
22.63,0.000,0,11.6,0.000,4.5
16.13,0.000,0,12.2,0.000,8.8
6.5,0.000,2.6,11.7,0.000,7.7
3.67,0.000,0.1,7.8,0.000,5
2.54,0.000,0.5,9.2,0.000,4.1
2.92,0.000,0,10.1,0.000,-1
4.08,0.000,0,8.3,0.333,-4.1
2.67,0.000,0,9.1,0.000,1.1
2.71,0.000,0,8.1,0.000,2.3
4.42,0.000,0,6.4,0.000,0.1
7.54,0.000,0,6.5,0.000,1.7
15.04,0.000,1.8,6.6,0.000,2.8
8.71,0.000,0,7.2,0.000,-5.3
11.34,0.000,0,5.4,0.000,0.5
12.25,0.000,0,6.5,0.000,-1.1
15.29,0.000,0,10.5,0.000,1
2.62,0.000,0,9.6,0.000,2.2
7.58,0.000,0,11.1,0.000,1.1
1.92,0.000,0,9.3,0.000,-2.4
3,0.000,0.1,8.3,0.000,1.6
9.92,0.000,0.8,9.4,0.000,-0.5
6.34,0.000,0,5.1,0.333,-3.3
9.08,0.000,0,6.5,0.000,-3.4
7.12,0.000,0,7.3,0.000,-1.8
11.08,0.000,0.9,10,0.333,-5
15.87,0.000,0,9.4,0.000,2.7
17.25,0.000,0.9,11,0.000,3.8
19,0.000,2.8,11,0.000,0.5
22.92,0.000,0.9,11.2,0.000,2
17.67,0.000,0.4,12.2,0.000,7
15.34,0.000,0.8,11.8,0.000,7.3
16.79,0.000,0.5,9,0.000,2.3
15.5,0.000,0.6,9.1,0.000,0.7
7.25,0.000,0,6.1,0.667,-2.5
5.63,0.000,0,5.5,0.333,-9.4
5.88,0.000,0,5.5,1.000,-6.7
7.21,0.000,0,6.1,0.333,-6.6
7.54,0.000,0,6.3,0.333,-9
8.5,0.000,0,7.7,0.000,3.4
9.67,0.000,0,8.4,0.333,-6.6
20.3,0.000,1.4,8.3,0.000,0.5
17.04,0.000,2.6,8.6,0.000,3.3
13.88,0.000,2.9,8.4,0.000,3.6
12.96,0.000,2.7,5.5,0.000,3.7
12.83,0.000,4.8,5.5,0.000,1.1
24,0.000,1.2,3.3,0.000,-0.4
16.38,0.000,0,3.3,0.000,0
9.67,0.000,0,2.7,0.000,0.3
18.29,0.000,1.8,5,0.000,0
8.92,0.000,0.5,13.8,0.000,2.7
15.04,0.000,1.3,10.7,0.000,2.8
16.25,0.000,2,11,0.000,4.4
13.79,0.000,0,13.3,0.000,6.6
8.46,0.000,0,11.7,0.000,4.4
5.88,0.000,0,12.1,0.000,-3.8
8.87,0.000,0,11.2,0.333,-6.1
6.04,0.000,0,9,0.000,-5.4
4.83,0.000,0,5.6,0.000,2.7
7.83,0.000,0.2,9.3,0.333,-5.6
7.67,0.000,1.6,6.8,0.000,-2.7
5.88,0.000,0,5.7,0.000,-4.7
10.08,0.000,1.2,5,0.333,-4.6
9.5,0.000,0.3,7,0.000,-2
10.29,0.000,0.1,7.8,0.000,-1
10.67,0.000,0,6.5,0.000,4.4
15.16,0.000,0,10,0.000,-3.6
13.21,0.000,0.4,12.8,0.000,4.3
6.54,0.000,0,10,0.000,-4.3
23.13,0.000,0.9,5.7,0.000,0
11.34,0.000,0.8,9.8,0.000,2.2
8.71,0.000,1.7,11.1,0.000,1.8
6.08,0.000,0.2,9,0.000,6.6
11,0.000,2.8,12.3,0.000,-0.7
15.37,0.000,0.1,10.3,0.000,0.3
6,0.000,2.8,10.2,0.333,-5
8.92,0.000,0.5,7.7,0.000,6.1
7.71,0.000,0.3,7.2,0.000,4.4
7.71,0.000,0,6.7,0.000,-3.1
10.58,0.000,0,5.7,0.000,-0.5
12.04,0.000,0.3,6.6,0.000,3.4
10.63,0.000,0.1,7.8,0.000,-2.3
11.83,0.000,0,7.2,0.000,-1
12.75,0.000,0,7.7,0.000,-1.4
6.58,0.000,5,11.1,0.000,-3.2
7.33,0.000,0,11.1,0.000,-1.5
7.29,0.000,0,12.6,0.333,-3.6
11.63,0.000,0,14,0.667,2.8
18.05,0.000,0.4,14.2,0.000,4
8.54,0.000,0,13.3,0.000,-1.6
10.04,0.000,1.1,14.1,0.000,2.8
14.37,0.000,0.1,13,0.000,8.2
15.96,0.000,2.2,12.7,0.000,1.4
19.04,0.000,1,12.2,0.000,3.4
10.71,0.000,0.7,14,0.000,5
12.79,0.000,0.5,12.7,0.000,6.1
12.87,0.000,0,12,0.000,5.5
4.75,0.000,1,12.5,0.000,-1.2
9.25,0.000,3.2,10.7,0.000,-1
5.41,0.000,4.5,9.2,0.000,4.6
9.04,0.000,2.5,11.5,0.000,1.8
9.79,0.000,0,14.6,0.000,1.4
12.29,0.000,0,14.6,0.000,7.8
7.21,0.000,2.4,14.6,0.000,4
11.42,0.000,2.5,14.3,0.000,8.6
11.63,0.000,5.8,15.5,0.000,7.7
15.09,0.000,2.8,14.2,0.000,5.7
14.5,0.000,3.4,13.7,0.000,4.8
11.08,0.000,4.5,14,0.000,3.3
9.79,0.000,1.1,16.6,0.000,7.7
20.08,0.000,3.4,15,0.000,5.4
19.41,0.000,2.2,15.7,0.000,5.6
15.54,0.000,0,15,0.000,4.4
9.75,0.000,1,15.1,0.000,6.1
16.66,0.000,3.6,15.7,0.000,7.8
19.7,0.000,3.2,14.7,0.000,4.4
15.92,0.000,6,14.4,0.000,4.3
15.04,0.000,0,17.7,0.000,8
14.37,0.000,0,18.3,0.000,9.4
11.54,0.000,0,15.6,0.000,3.3
9.92,0.000,0,16.1,0.000,2.4
5.25,0.000,0,18.4,0.000,1.7
5.66,0.000,0,20.1,0.000,6.1
7.08,0.000,0.5,17.7,0.000,3.4
13.46,0.000,0.4,18.3,0.000,9.8
7.33,0.000,3.8,15.1,0.000,4.1
7.54,0.000,0.8,15.2,0.000,2.3
6.96,0.000,0,16.8,0.000,9.3
10.71,0.000,0.7,12.7,0.000,7.5
10.92,0.000,0,16.4,0.000,5.3
11.08,0.000,0,18.2,0.000,8
11.29,0.000,0,18.7,0.000,9
6.13,0.000,0,19.4,0.000,3.1
8.87,0.000,0,19,0.000,5.8
10.54,0.000,0.5,15,0.000,9.3
8.17,0.000,0,18.8,0.000,11.2
3.08,0.000,2.8,18.5,0.000,3.2
13.54,0.000,0.3,15.5,0.000,7.7
17.37,0.000,3,10.8,0.000,8.7
10.67,0.000,1.4,11.4,0.000,6.1
7.67,0.000,3.8,16.1,0.000,5
15.5,0.000,0.4,18.4,0.000,9.5
11.12,0.000,1,18.3,0.000,9.4
8.25,0.000,4.2,14.5,0.000,6.2
10.04,0.000,0.4,18.3,0.000,10.3
10.71,0.000,0.3,18,0.000,7.1
8.58,0.000,5.9,17.2,0.000,10.7
11.21,0.000,0.4,19,0.000,9.3
8.63,0.000,0,18.1,0.000,7.3
13.25,0.000,1.3,16.1,0.000,4.3
15.37,0.000,0,16.5,0.000,5.5
13.21,0.000,0.1,19.2,0.000,7.5
6.17,0.000,4,16.3,0.000,8.5
5.91,0.000,0,17.3,0.000,4.7
13.25,0.000,0,15,0.000,2.8
10.25,0.000,0,16.3,0.000,1.8
3.67,0.000,1.2,14.5,0.000,8.5
4.63,0.000,1.3,16,0.000,10.3
4.29,0.000,0,20.1,0.000,3.4
3.92,0.000,0,19.6,0.000,7.1
8,0.000,2.4,21.8,0.000,8.1
10.41,0.000,2.1,18.7,0.000,12.7
5.21,0.000,0,17.2,0.000,12.6
8.92,0.000,0,20,0.000,5.7
14.88,0.000,0,20.6,0.000,10
7.92,0.000,0,20.2,0.000,9.7
9.87,0.000,0,18.1,0.000,11.4
6.58,0.000,0,16.5,0.000,10.6
5.21,0.000,0,17.3,0.000,2.7
8.42,0.000,0.2,17.8,0.000,8.3
6.42,0.000,0,17.3,0.000,3.8
19.41,0.000,1.9,17.2,0.000,7.3
16.21,0.000,4.3,16.1,0.000,8.5
14.5,0.000,0,17.6,0.000,6.8
12.25,0.000,3,18.3,0.000,5.5
13.42,0.000,0,20.5,0.000,12.2
6.54,0.000,0,17.7,0.000,7.7
9.54,0.000,2,19.8,0.000,7
13.54,0.000,0,21.1,0.000,14
4.29,0.000,3.8,22.3,0.000,4.8
4.08,0.000,0.2,20.7,0.000,12.2
7.79,0.000,1,18.3,0.000,12.6
2.5,0.000,3.9,18.1,0.000,8.8
1.96,0.000,0.3,19.5,0.000,9.7
4.63,0.000,0,21.2,0.000,9.4
6.83,0.000,0,20.8,0.000,14.6
9.96,0.000,0,22.2,0.000,11
8.17,0.000,0,21.7,0.000,14.6
3.96,0.000,0,19.7,0.000,7.8
15.09,0.000,0,21.5,0.000,10.6
11.96,0.000,0.2,21.1,0.000,12.4
6.71,0.000,0,19.6,0.000,13.6
10.13,0.000,0.2,22.3,0.000,14.2
13.79,0.000,0.2,19.7,0.000,12.8
16.54,0.000,0,18.3,0.000,12.2
14.04,0.000,0,20.4,0.000,12.7
8.71,0.000,0,23.7,0.000,15
4.42,0.000,0,21.8,0.000,12.4
6.83,0.000,3.3,18.8,0.000,11.1
6.96,0.000,1.3,18.4,0.000,10.2
4.88,0.000,1.2,19.1,0.000,8.8
3.08,0.000,4.5,17,0.000,6.4
3.63,0.000,0,18.8,0.000,11.6
2.46,0.000,0,18.2,0.000,5.8
5.09,0.000,0,17.1,0.000,10.5
3.04,0.000,0,18.8,0.000,6.7
2.79,0.000,2.4,19,0.000,6.4
15.09,0.000,1,16.2,0.000,13.3
10.67,0.000,0,15.4,0.000,5.1
5.71,0.000,2.6,15.5,0.000,-0.4
4.25,0.000,0,15.7,0.000,-0.4
9.42,0.000,0,19.1,0.000,4.1
13.62,0.000,1.2,18.7,0.000,9.5
15.34,0.000,0,21.5,0.000,13.2
13,0.000,0,22.2,0.000,14.3
8.04,0.000,0,20.5,0.000,8.6
7.12,0.000,0,23.1,0.000,5.6
11.34,0.000,5,18,0.000,7.7
9.25,0.000,0,17.2,0.000,-1.6
4.38,0.000,0,16.8,0.000,1
7.21,0.000,0,16.6,0.000,1.1
11.29,0.000,0.1,17.1,0.000,6.7
10,0.000,0,20,0.000,9.2
2.04,0.000,0,18.3,0.000,8.3
2.46,0.000,0,19,0.000,8.1
8.58,0.000,0,18.3,0.000,9.1
10.37,0.000,0.2,20.3,0.000,7.3
13.29,0.000,0.8,20.1,0.000,12.8
14.58,0.000,0.1,21.8,0.000,15.6
10.75,0.000,0,19,0.000,13.9
4.5,0.000,0,15.7,0.000,2.2
9.17,0.000,0.4,19.4,0.000,5
9.42,0.000,3.6,19.6,0.000,14
8.08,0.000,0.6,15.6,0.000,8.7
9.29,0.000,0.9,15.2,0.000,4.6
10.75,0.000,1.9,17.2,0.000,5.1
15.12,0.000,0,16.1,0.000,6.4
10.17,0.000,0.4,14.7,0.000,4.1
8.33,0.000,3.5,16.9,0.000,-0.2
6.83,0.000,2,20.6,0.000,6.4
15.04,0.000,1.4,17.7,0.000,7.9
10.58,0.000,1.4,18.4,0.000,8.8
9.08,0.000,0.7,16.1,0.000,6.2
6.25,0.000,0,16.7,0.000,6.7
6.87,0.000,0,19.2,0.000,-0.9
5.88,0.000,0,18.9,0.000,2.9
3.67,0.000,0,15.7,0.000,1.1
3.08,0.000,0,16.1,0.000,2.3
6.96,0.000,0,14.4,0.000,1.3
7.67,0.000,0,16.2,0.000,-0.9
6.87,0.000,5,17.3,0.000,2.2
10.41,0.000,3.6,16,0.000,11.6
18.71,0.000,0.5,13.6,0.000,8.2
14.83,0.000,2.3,11.9,0.000,3.7
15.37,0.000,1.6,10.4,0.000,0
8.71,0.000,0.4,10.4,0.000,-1.4
6.75,0.000,2.2,12.1,0.000,-1.6
9.08,0.000,2.7,9,0.000,-1.1
9.13,0.000,2.7,10.4,0.000,4
12.04,0.000,0.5,10.7,0.000,2.9
10.13,0.000,0.4,12.8,0.000,1.1
5.58,0.000,0,12.4,0.000,-1.8
5.17,0.000,0,17.1,0.000,6.6
5.75,0.000,1.2,16,0.000,1.7
5.25,0.000,0,15.4,0.000,6.7
12,0.000,1.6,10.4,0.000,3.9
14.71,0.000,0.1,9.3,0.000,-0.7
10.37,0.000,1,11,0.000,-2.6
6.25,0.000,0.9,14.4,0.000,3.7
2.54,0.000,0,15.3,0.000,3.3
2.46,0.000,0,13.2,0.000,-1.2
1.92,0.000,0,10.3,0.000,0.1
1.75,0.000,0,11.7,0.000,2.1
6.21,0.000,0.3,12.8,0.000,6.1
2.46,0.000,0,12.1,0.000,2.2
6.17,0.000,0,10.9,0.000,-1.9
8.54,0.000,0,10.7,0.000,-2.2
9.67,0.000,0,10.6,0.000,0.4
8,0.000,0,10.2,0.000,7.2
5.88,0.000,0,9.7,0.000,6.4
9.21,0.000,0,10.1,0.000,-2.6
7.71,0.000,0,9.4,0.000,-4
3.46,0.000,0,10.1,0.333,-7.8
2.96,0.000,0.7,10.2,0.333,-7.9
8.96,0.000,0.3,14.1,1.000,-6.9
14.04,0.000,1.9,14.3,0.000,3.2
16.13,0.000,0.6,14.3,0.000,5.7
24.08,0.000,1.1,11.4,0.000,7.2
17.88,0.000,2.2,12.8,0.000,2.8
9.62,0.000,5.2,15.6,0.000,2.8
12.42,0.000,0.3,14.4,0.000,2.8
11.29,0.000,0,12.6,0.000,8.3
9.25,0.000,0,11.1,0.000,-0.2
6.46,0.000,0.3,13.8,0.000,1.6
11.63,0.000,0.1,12.9,0.667,6.8
13.54,0.000,0,14,0.000,7.8
8.5,0.000,0.1,13.4,0.000,8.2
13.21,0.000,1.7,13.2,0.000,8
16.08,0.000,0,7,0.000,-1
15.41,0.000,1.6,6.8,0.000,-2.4
11.12,0.000,0,6.8,0.333,-6
12.42,1.000,0,7.8,0.000,-1.1
15.04,0.000,0.7,10.3,0.333,-6.1
15.79,0.000,0.1,7.2,0.000,1.4
9.54,0.000,1.4,10.7,0.000,-1
16.42,0.000,0.4,12.1,0.000,-0.4
13.54,1.000,0,11,0.000,7.2
7.17,0.000,0,8.2,0.000,-4
15.71,0.000,0,12.4,0.000,2.3
8.87,0.000,0,5.1,0.000,-4.4
8.21,0.000,0.2,6.7,0.000,0
3.21,0.000,0,4.4,0.000,-1.7
6.29,0.000,0.5,7.1,0.000,-0.3
10.21,1.000,0,7.4,0.000,-0.1
14.37,0.000,0.3,7.1,0.000,-0.6
15.04,1.000,0,7,0.000,3
10.34,0.000,4.3,6.2,0.000,2.7
10.17,0.000,0,5.6,0.000,-1.2
10.79,1.000,0,5,0.333,-5.7
10.37,0.000,2.8,4.2,0.333,-2.2
6.96,0.000,1.8,7.9,0.333,-7.9
20.3,0.000,3.4,5.6,0.000,3.9
19.83,0.000,0.3,6.2,0.000,-0.4
8.67,0.000,0,11.1,0.000,-2.2
8.12,0.000,0,16.7,0.000,-3.2
8.71,0.000,0,15,0.000,-4.3
11.34,0.000,1,13.8,0.000,4.4
4.88,0.000,1.4,10.7,0.000,2.7
9.17,0.000,1,11.7,0.000,-3.3
8.08,0.000,0.2,11.8,0.000,-2.2
9.92,0.000,0.6,13.9,0.667,4.6
18,0.000,0.9,12.2,0.000,6.8
19.55,0.000,3.9,9.4,0.000,1.7
18.66,0.000,0.6,12.1,0.000,1.9
10.37,0.000,4.3,12.9,0.000,-0.1
12.46,0.000,1.3,14.6,0.000,6.7
15.34,0.000,0.1,14.4,0.000,9.7
16.21,0.000,0.8,14.4,0.000,5.3
21.87,0.000,0.8,12.3,0.000,0.6
20.38,0.000,0.1,11.7,0.000,-0.8
8.04,0.000,0,8.9,0.000,-1.9
7.5,1.000,0,10.1,0.333,-6.1
4.79,0.000,2,12.1,0.000,-2.9
8.67,0.000,0.2,12.8,0.000,1.8
21.5,0.000,2.8,12.3,0.000,2.2
12.21,0.000,2.7,11.8,0.000,2.8
8.33,0.000,0.3,10.3,0.000,4.6
6.92,0.000,0,10.7,0.000,3.4
10.25,0.000,0,12.2,0.000,3.3
4.17,1.000,0,14.3,0.000,5
1.83,0.000,0,16,0.000,-1.1
3.79,1.000,0,18.8,0.000,3.7
3.46,0.000,1.5,15.4,0.000,10
4.58,0.000,1.3,15.1,0.000,5.7
2.5,0.000,0,16.9,0.000,4.4
3.54,0.000,0,19,0.000,9.9
4.42,0.000,1.3,19.6,0.000,3.9
6.29,0.000,5,18.2,0.000,11.7
5.46,0.000,0.2,20.6,0.000,9.4
8.5,1.000,0,18.3,0.000,6.8
15.67,0.000,0.2,20.6,0.000,12.2
11.17,0.000,3.3,18.8,0.000,9.4
13.42,0.000,5.5,19,0.000,6.7
24.21,0.000,0.4,18.4,0.000,11.6
13.83,0.000,0.3,19.2,0.000,8.3
10.92,0.000,2.2,19,0.000,10.1
21.04,0.000,1.4,19,0.000,10.7
16.92,0.000,1.2,17.9,0.000,9.4
15.12,0.000,1,18.3,0.000,13.4
17,0.000,1.1,17.8,0.000,7.2
8.83,1.000,0,17.1,0.000,4.4
11.63,0.000,0.1,19.7,0.000,6.7
4.12,0.000,0.2,19.8,0.000,13.7
8.5,1.000,0,19.1,0.000,12.1
21.79,0.000,0.8,9.1,0.000,2
17.46,0.000,0.6,8.9,0.000,0.6
7.83,0.000,0.9,7.2,0.000,-1.8
15.46,0.000,5.1,12.8,0.333,-3.9
12.83,0.000,2.8,12.8,0.000,7.1
10.96,0.000,1.6,12.9,0.000,3.9
10.5,0.000,0,12.1,0.000,8.3
12.5,0.000,0,11.1,0.000,6.1
13.37,0.000,2.3,9.4,0.000,2.8
19.55,0.000,0,6,0.000,-1.3
16.46,0.000,0,4.4,0.000,1.7
12.29,0.000,0,3.9,0.000,1
10.83,1.000,0,3.7,0.000,-2.1
6.29,1.000,0,2,0.333,-4.9
4.71,0.000,3.5,1.9,0.333,-1.1
2.79,0.000,1.8,3.7,0.333,-4.1
8.5,1.000,0,3.3,0.000,-0.4
14.33,1.000,0,3.1,0.333,-1.7
12.33,0.000,0,3,0.333,0
4.75,0.000,0,4.6,0.000,0
8.54,0.000,0.3,5.1,0.000,0
1.13,0.000,0.5,6,0.000,0
17.46,0.000,0.2,13.3,0.000,5.9
16.79,0.000,1,13,0.000,8.6
14.33,1.000,0,11.1,0.000,3.7
3.79,0.000,0.1,9.2,0.333,-3.3
13.75,0.000,2.8,10.6,0.000,0.6
13.54,1.000,0,11.6,0.000,4.1
10.96,0.000,4.3,13.8,0.000,0.4
10.96,0.000,1,13.4,0.000,8.7
19.33,0.000,2.9,12,0.000,6.2
10.63,0.000,0.2,14,0.000,1.6
4.58,0.000,4.9,8.9,0.000,6
6.13,0.000,1.6,7.3,0.000,3.9
13.29,0.000,0,4.7,0.000,2.8
11.42,0.000,2.9,4.6,0.000,1.7
11.63,0.000,0.2,4.4,0.000,1.4
10.96,1.000,0,6,0.000,0.6
13.7,0.000,4.4,5.3,0.000,-0.7
10.04,0.000,1.6,11.8,0.000,2.9
11.92,0.000,1.4,11.7,0.000,4.8
17.79,0.000,0.7,10.6,0.000,-0.6
12,0.000,2.9,12.8,0.000,-2.8
21.84,0.000,1.5,12.8,0.000,0.9
22.95,0.000,0.6,11.4,0.000,4
23.63,0.000,0.1,14.3,0.000,1.4
14.79,0.000,1.9,10.6,0.000,5.6
9.38,0.000,2.7,12.2,0.000,1.1
13.92,0.000,3.3,14,0.000,5.4
10.46,0.000,0.3,12.7,0.000,1
9.71,0.000,0,12,0.000,-0.6
12.17,0.000,0,12.8,0.000,4.7
16.04,0.000,0.2,12.3,0.000,5.1
9.04,0.000,0.1,10.6,0.000,2
16.13,0.000,0,10.8,0.000,-1.1
20.62,0.000,2.1,10.1,0.000,1.1
11.25,0.000,0.3,11.1,0.000,-0.4
11.21,1.000,0,13.9,0.000,3.1
8.63,0.000,0,13.1,0.000,2.2
8.21,0.000,0,11.2,0.000,5
6.87,0.000,0,11.1,0.000,6.1
14.83,0.000,1.8,12.1,0.000,5.6
7.21,1.000,0,13.1,0.333,-5
5.25,1.000,0,15.3,0.333,-7
8.87,0.000,0.2,10.4,0.333,-5
9.96,0.000,0.2,11.4,0.000,5.9
13.17,0.000,0.2,11.3,0.000,1.9
20.54,0.000,0,10,0.000,4.9
20.83,0.000,1.3,8.4,0.000,-1.3
10.92,0.000,1.7,9.8,0.333,-4.4
14.54,0.000,0.2,11.3,0.000,-0.6
10.92,0.000,0,10.6,0.000,-3.7
13.59,0.000,0.2,11.6,0.667,0.1
11.25,0.000,0,10.8,0.333,-2.9
10.58,1.000,0,10,0.333,-8.7
17.37,0.000,5.7,10.3,0.000,3.1
4.88,0.000,0,12.2,0.000,3.1
9.33,1.000,0,11.1,0.000,6.1
18.63,0.000,6,12.6,0.000,7.2
10.41,0.000,1.3,12.9,0.000,0.6
14.21,0.000,0.2,10.2,0.000,4
17.71,0.000,0,7.8,0.000,4.4
24.71,0.000,0,5.6,0.000,3
21.79,0.000,5.9,4,0.000,0.8
10.71,0.000,1.3,6.1,0.000,3.6
16.66,0.000,3.7,6.1,0.000,3.1
11.96,0.000,0.2,12.8,0.000,-2.7
15.29,0.000,0.8,18.1,0.000,7.3
12.96,0.000,5.2,15.6,0.000,7.2
11.08,0.000,0.2,14.9,0.000,2.3
9.21,1.000,0,15.3,0.000,1.7
13.75,0.000,0.1,12.9,0.000,6.2
20.88,0.000,0.1,14.2,0.000,6.7
13.54,1.000,0,14.2,0.000,3.4
13.29,1.000,0,18.1,0.000,6.7
4.75,1.000,0,18.9,0.000,-0.6
3.71,1.000,0,20.2,0.000,9
4.83,0.000,1.3,19.8,0.000,7
2.88,1.000,0,17.5,0.000,7.9
1.63,0.000,5.7,16.5,0.000,7.5
6.96,0.000,0.2,17,0.000,6
6.79,1.000,0,19.8,0.000,10.8
5.83,1.000,0,20.5,0.000,13
7.67,0.000,4.2,17.9,0.000,6.5
7.5,0.000,3.4,16.4,0.000,10.6
7.58,0.000,0.2,19.6,0.000,7
13.79,0.000,0,20,0.000,14.1
14.83,0.000,0.2,19.1,0.000,11.5
10.08,0.000,2,18,0.000,8
10.25,0.000,1.7,19.2,0.000,8.5
6.17,0.000,0.6,18.5,0.000,9.8
4.75,0.000,0.6,17.8,0.000,2.7
1.38,0.000,0,19.6,0.000,1.5
5.46,0.000,0,21.6,0.000,1.3
9.38,0.000,0,22.8,0.000,8
7.17,0.000,0,23.6,0.000,11
7.79,0.000,0.3,22.6,0.000,4.5
13.21,0.000,1.4,20.5,0.000,13.2
12.46,0.000,1.2,17.4,0.000,12.5
9.42,1.000,0,17.5,0.000,5.4
10.04,0.000,0.8,17,0.000,11
5.46,1.000,0,17.8,0.000,4.5
11.21,0.000,3.6,18,0.000,11.8
10.71,0.000,2.1,17.4,0.000,8.5
13.17,0.000,0.1,14.5,0.000,8.5
3.33,0.000,3.4,15.1,0.000,7.1
5.41,0.000,0,18.5,0.000,5.9
5.41,0.000,5.4,17,0.000,2.5
7.08,0.000,0.2,18.4,0.000,11.5
10.63,0.000,0,18.4,0.000,5.9
